contract_address,name,symbol,decimals
atr.tkn.near,Activity Token Reward,ATR,18
aubergine.token0.near,🍆,AUBERGINE,18
aur1a.gra-fun.near,AI Authenticity,aur1a,24
23.contract.portalbridge.near,Aurora Network,Aurora,8
aurora.tkn.near,Aurora,AURORA,18
avax.tkn.near,Avalanche,AVAX,18
avb.tknx.near,AVB 2.0,AVB,18
avb.tkn.near,AVB,AVB,18
avfckn.gra-fun.near,Crypto Learning Hub,avfckn,24
avocado.tkn.near,AVOCADO,AVOCADO,18
axiba.tknx.near,AXIBA,AXIBA,18
axolotl.tkn.near,Axolotl App,AXOLOTL,8
amorymiel1.near,AmoryMiel,AYM,6
b00b.tfactory.near,Boobs,B00B,18
baby.tkn.near,Baby Shiba,baby,18
babyblackdragon.tkn.near,BABYBLACKDRAGON,BABYBLACKDRAGON,24
babye.token0.near,Gasless Gary,BABYE,18
babyhijack-253.meme-cooking.near,BabyHiJack ,BabyHiJack,18
babylonk.tkn.near,Lonking NEAR back to $8.8 in April,BABYLONK,18
babynear-265.meme-cooking.near,BABYNEAR,BABYNEAR,18
babynear.gra-fun.near,BabyNEAR,BABYNEAR,24
babyneko.tkn.near,babyneko,babyneko,18
bad-357.meme-cooking.near,BadDuck,BAD,18
bad.tkn.near,Bad Coin,BAD,18
baitoken.bullpaloozaai.near,Bullpalooza AI,BAI,18
bai.tkn.near,Business Analytics Institute Token,BAI,18
baldilia.aidols.near,Bald Illia,BALDILIA,24
balls.token0.near,BALLSACK,BALLS,18
bananear.near,BanaNear,BAN,4
bana-998.meme-cooking.near,BananaCoin,BANA,18
nearest_near.near,Banana for Scale 🍌,Banana,0
banana.tkn.near,BANANA,BANANA,18
banana.token0.near,Banana Split🍌,BANANA,18
banana.tfactory.near,Banana,BANANA,18
2ffa68cbdb7ef784d7836dca0ef7e85ad98058a89270462478683eb55a053995,Bananas for You,BANANA,10
bangcock.token0.near,BANGCOCK,BANGCOCK,18
test1.reftoken.near,Barac V2,BARAC,18
bark.aidols.near,BarkCoin Master,BARK,24
based-10.aidols.near,Based ,Based,24
based.aidols.near,Based,Based,24
batman.token0.near,BATMAN,BATMAN,18
baz.tkn.near,Bazooka,BAZ,16
snixqfeyr6.vrtx,BlueBook,BB,18
lpz3thaguy.vrtx,BlackBook,BB,18
bb12.aidols.near,BlabberBot,BB12,24
bbkids.tkn.near,"Benny Brown Please let my kids go, I've sent the ransom money in NEAR like you requested",BBKIDS,18
bblbenny.token0.near,Benny let my kids go man,BBLBENNY,18
bbn-787.meme-cooking.near,BeatBoxNEAR,BBN,18
bbp.331a4daac1s.near,Bebop Token,BBP,18
bbrkrw.token0.near,BoberKurwa,BBRKRW,18
bcat.gra-fun.near,B Cat,BCAT,24
bcc-242.meme-cooking.near,BITCONNECT,BCC,18
bdkok-292.meme-cooking.near,Blackdragon KOK INU,BDKOK,18
