"DATE","BALANCE"
"2022-01-24",384324087.144202
"2022-01-23",382765969.587585
"2022-01-22",382629902.600764
"2022-01-21",380549613.681095
"2022-01-20",376646682.96127
"2022-01-19",377977286.695783
"2022-01-18",376561954.886375
"2022-01-17",375658687.469177
"2022-01-16",375007755.515363
"2022-01-15",372838594.231273
"2022-01-14",373221959.037262
"2022-01-13",374917777.214767
"2022-01-12",378008620.940633
"2022-01-11",379360525.682656
"2022-01-10",379145446.539243
"2022-01-09",386408488.951032
"2022-01-08",400134274.463688
"2022-01-07",407005523.444761
"2022-01-06",419748192.661157
"2022-01-05",423350575.590251
"2022-01-04",425402138.34266
"2022-01-03",425960836.50579
"2022-01-02",425243033.778434
"2022-01-01",425226369.589773
"2021-12-31",425370299.006869
"2021-12-30",425138097.846978
"2021-12-29",425035933.876908
"2021-12-28",424929942.926386
"2021-12-27",426137457.853411
"2021-12-26",415467645.283005
"2021-12-25",415297107.29659
"2021-12-24",414655947.247883
"2021-12-23",415316445.807246
"2021-12-22",411205415.83926
"2021-12-21",419470214.752924
"2021-12-20",419057816.880593
"2021-12-19",418943816.42466
"2021-12-18",421065148.369317
"2021-12-17",420499640.399018
"2021-12-16",418464884.527638
"2021-12-15",418205594.306323
"2021-12-14",418942480.567664
"2021-12-13",418475942.818891
"2021-12-12",418629712.697
"2021-12-11",418374363.30038
"2021-12-10",417880598.999036
"2021-12-09",417851367.35578
"2021-12-08",418040531.394729
"2021-12-07",417761109.058749
"2021-12-06",422816749.760396
"2021-12-05",422628520.623679
"2021-12-04",422401620.887239
"2021-12-03",423220467.884374
"2021-12-02",422697509.884364
"2021-12-01",423223824.188967
"2021-11-30",423172780.999299
"2021-11-29",423174528.595073
"2021-11-28",423112996.271402
"2021-11-27",422869828.923897
"2021-11-26",422663864.802445
"2021-11-25",422522281.62323
"2021-11-24",422391640.003016
"2021-11-23",422077360.168725
"2021-11-22",422611058.051405
"2021-11-21",421210452.646098
"2021-11-20",421232797.131357
"2021-11-19",422149713.459316
"2021-11-18",421770279.768377
"2021-11-17",421576792.769314
"2021-11-16",421479285.378068
"2021-11-15",422313250.634675
"2021-11-14",423099795.505954
"2021-11-13",423015632.435989
"2021-11-12",422874482.354214
"2021-11-11",422621458.447429
"2021-11-10",422729637.327042
"2021-11-09",423284779.934044
"2021-11-08",423245354.182988
"2021-11-07",423617340.037441
"2021-11-06",424118475.343755
"2021-11-05",423777356.468412
"2021-11-04",423716391.88716
"2021-11-03",423222798.000538
"2021-11-02",422477674.548337
"2021-11-01",422994992.244339
"2021-10-31",423015337.885072
"2021-10-30",423055868.654232
"2021-10-29",422721006.864745
"2021-10-28",423647665.617822
"2021-10-27",424507436.297371
"2021-10-26",426343050.633879
"2021-10-25",426426139.643148
"2021-10-24",426722183.477135
"2021-10-23",426675334.927201
"2021-10-22",427660854.345895
"2021-10-21",427634905.835096
"2021-10-20",427735015.166841
"2021-10-19",426105174.033948
"2021-10-18",425421347.006099
"2021-10-17",424782338.686122
"2021-10-16",425047602.435928
"2021-10-15",425546716.908164
"2021-10-14",425500799.308649
"2021-10-13",425766417.341547
"2021-10-12",425399017.613274
"2021-10-11",422400176.762189
"2021-10-10",422064782.82289
"2021-10-09",424437587.918017
"2021-10-08",424981303.490759
"2021-10-07",425083418.171294
"2021-10-06",424810414.418014
"2021-10-05",424760620.827985
"2021-10-04",424906726.684083
"2021-10-03",424123604.43104
"2021-10-02",424785367.126751
"2021-10-01",422724414.929625
"2021-09-30",422231138.782437
"2021-09-29",421246489.605397
"2021-09-28",421516394.163307
"2021-09-27",423562834.73438
"2021-09-26",422493787.262132
"2021-09-25",422801377.093444
"2021-09-24",422063536.26544
"2021-09-23",420927325.36968
"2021-09-22",419895586.096329
"2021-09-21",419576930.610605
"2021-09-20",420467295.95788
"2021-09-19",419935935.296398
"2021-09-18",419693695.82021
"2021-09-17",418671354.774501
"2021-09-16",418517099.797597
"2021-09-15",419276359.212969
"2021-09-14",417774083.615142
"2021-09-13",418956509.189682
"2021-09-12",408637210.264908
"2021-09-11",408404191.391518
"2021-09-10",407858066.724557
"2021-09-09",410224192.767794
"2021-09-08",410203514.775022
"2021-09-07",414234899.184526
"2021-09-06",414813661.891758
"2021-09-05",413442985.908229
"2021-09-04",413075045.360503
"2021-09-03",412612125.615071
"2021-09-02",412292038.67021
"2021-09-01",411818014.905521
"2021-08-31",413559079.426494
"2021-08-30",415447291.072375
"2021-08-29",413060592.798859
"2021-08-28",412144150.766914
"2021-08-27",411948173.464039
"2021-08-26",412950172.720498
"2021-08-25",413050648.429036
"2021-08-24",413267046.083251
"2021-08-23",413779361.63939
"2021-08-22",409679131.805541
"2021-08-21",409778774.964237
"2021-08-20",406837749.636789
"2021-08-19",408451761.748346
"2021-08-18",408529444.245632
"2021-08-17",411079581.209567
"2021-08-16",412181313.050248
"2021-08-15",416180893.940881
"2021-08-14",416321180.315028
"2021-08-13",416314471.707634
"2021-08-12",411609812.590124
"2021-08-11",411698421.911171
"2021-08-10",411591541.502047
"2021-08-09",411568543.136343
"2021-08-08",411015044.512185
"2021-08-07",410931118.290133
"2021-08-06",410920637.044159
"2021-08-05",410881474.836912
"2021-08-04",411122017.056368
"2021-08-03",411428486.337085
"2021-08-02",406274976.174302
"2021-08-01",409516507.472795
"2021-07-31",409827283.466273
"2021-07-30",409875183.184952
"2021-07-29",409693704.771741
"2021-07-28",409870380.809504
"2021-07-27",409572904.699303
"2021-07-26",409552427.580228
"2021-07-25",409719112.402591
"2021-07-24",409659983.223613
"2021-07-23",410293433.245662
"2021-07-22",410376058.335274
"2021-07-21",410285052.874581
"2021-07-20",410146894.717066
"2021-07-19",410229302.645579
"2021-07-18",409934730.150913
"2021-07-17",409887176.712229
"2021-07-16",409124457.248646
"2021-07-15",405519248.647641
"2021-07-14",404215069.942504
"2021-07-13",403998427.6269
"2021-07-12",405524164.977957
"2021-07-11",408561369.402373
"2021-07-10",408563297.654352
"2021-07-09",408201025.617084
"2021-07-08",408163659.522734
"2021-07-07",407808345.030659
"2021-07-06",407711744.839607
"2021-07-05",407542491.086406
"2021-07-04",407529856.391975
"2021-07-03",407245990.807052
"2021-07-02",406851096.143357
"2021-07-01",406612778.379928
"2021-06-30",406944665.526386
"2021-06-29",405691590.081942
"2021-06-28",404816337.003912
